SampleID,Detail,Location,Site,Type,Group
DAb,Daxi_A_big,Daxi,Daxi_A,Major_worker,Ant
DAn,Daxi_A_nest,Daxi,Daxi_A,Nest_soil,Soil
DAs1,Daxi_A_surrounding1,Daxi,Daxi_A,Surrounding_soil,Soil
DAs2,Daxi_A_surrounding2,Daxi,Daxi_A,Surrounding_soil,Soil
DAs3,Daxi_A_surrounding3,Daxi,Daxi_A,Surrounding_soil,Soil
DAsm,Daxi_A_mixed_surrounding,Daxi,Daxi_A,Surrounding_soil,Soil
GAb,Gwanin_A_big,Gwanin,Gwanin_A,Major_worker,Ant
GAn,Gwanin_A_nest,Gwanin,Gwanin_A,Nest_soil,Soil
GAs,Gwanin_A_small,Gwanin,Gwanin_A,Minor_worker,Ant
GAs1,Gwanin_A_surrounding1,Gwanin,Gwanin_A,Surrounding_soil,Soil
GAs2,Gwanin_A_surrounding2,Gwanin,Gwanin_A,Surrounding_soil,Soil
GAs3,Gwanin_A_surrounding3,Gwanin,Gwanin_A,Surrounding_soil,Soil
GAsm,Gwanin_A_mixed_surrounding,Gwanin,Gwanin_A,Surrounding_soil,Soil
GBb,Gwanin_B_big,Gwanin,Gwanin_B,Major_worker,Ant
GBn,Gwanin_B_nest,Gwanin,Gwanin_B,Nest_soil,Soil
GBs,Gwanin_B_small,Gwanin,Gwanin_B,Minor_worker,Ant
GBs1,Gwanin_B_surrounding1,Gwanin,Gwanin_B,Surrounding_soil,Soil
GBs2,Gwanin_B_surrounding2,Gwanin,Gwanin_B,Surrounding_soil,Soil
GBs3,Gwanin_B_surrounding3,Gwanin,Gwanin_B,Surrounding_soil,Soil
GBsm,Gwanin_B_mixed_surrounding,Gwanin,Gwanin_B,Surrounding_soil,Soil
TSAm,Tamsui_A_mixed_surrounding,Tamsui,Tamsui_A,Surrounding_soil,Soil
TSAn,Tamsui_A_nest,Tamsui,Tamsui_A,Nest_soil,Soil
TSBb,Tamsui_B_big,Tamsui,Tamsui_B,Major_worker,Ant
TSBm,Tamsui_B_mixed_surrounding,Tamsui,Tamsui_B,Surrounding_soil,Soil
TSBn,Tamsui_B_nest,Tamsui,Tamsui_B,Nest_soil,Soil
ZNAb,Zhunan_A_big,Zhunan,Zhunan_A,Major_worker,Ant
ZNAm,Zhunan_A_mixed_surrounding,Zhunan,Zhunan_A,Surrounding_soil,Soil
ZNAn,Zhunan_A_nest,Zhunan,Zhunan_A,Nest_soil,Soil
ZNAs,Zhunan_A_small,Zhunan,Zhunan_A,Minor_worker,Ant
ZNBb,Zhunan_B_big,Zhunan,Zhunan_B,Major_worker,Ant
ZNBm,Zhunan_B_mixed_surrounding,Zhunan,Zhunan_B,Surrounding_soil,Soil
ZNBn,Zhunan_B_nest,Zhunan,Zhunan_B,Nest_soil,Soil
ZQAm,Zaoqiao_A_mixed_surrounding,Zaoqiao,Zaoqiao_A,Surrounding_soil,Soil
ZQAn,Zaoqiao_A_nest,Zaoqiao,Zaoqiao_A,Nest_soil,Soil
ZQAs,Zaoqiao_A_small,Zaoqiao,Zaoqiao_A,Minor_worker,Ant
ZQBb,Zaoqiao_B_big,Zaoqiao,Zaoqiao_B,Major_worker,Ant
ZQBm,Zaoqiao_B_mixed_surrounding,Zaoqiao,Zaoqiao_B,Surrounding_soil,Soil
ZQBn,Zaoqiao_B_nest,Zaoqiao,Zaoqiao_B,Nest_soil,Soil
ZQBs,Zaoqiao_B_small,Zaoqiao,Zaoqiao_B,Minor_worker,Ant
